model,command,min_value,max_value,max_abs_value,mean_value,saturation_pct,lower_limit,upper_limit
Modelo_1gdl_PID_R2025a,T,9.09047732038841,12.2333937059101,12.2333937059101,9.80993933294783,0,0,29.43
Modelo_1gdl_PID_R2025a,T_unsat,9.09047732038841,12.2333937059101,12.2333937059101,9.80993933294783,NaN,NaN,NaN
Modelo_1gdl_PID_R2025a,T_feedforward,9.81,9.81,9.81,9.80999999999999,NaN,NaN,NaN
Modelo_1gdl_PID_R2025a,e_z_cmd,-0.0126784256681452,0.0545687713873152,0.0545687713873152,3.75991385834232e-05,NaN,NaN,NaN
Modelo_1gdl_PID_R2025a,I_z_cmd,5.39586298862747e-05,0.0228655665281827,0.0228655665281827,0.00596741303794273,0,-5,5
Modelo_1gdl_PID_R2025a,edot_z_cmd,-0.205411519726812,0.0561781948104262,0.205411519726812,-0.00269989173427799,NaN,NaN,NaN
Quadri_Sub_Por_Partes_PID_R2025a,u,9.17073667416765,11.9684531127108,11.9684531127108,9.81011376930408,0,0,29.43
Quadri_Sub_Por_Partes_PID_R2025a,tau_psi,0,0,0,0,0,-20,20
Quadri_Sub_Por_Partes_PID_R2025a,tau_theta,-0.343712400946012,0.53761022132136,0.53761022132136,-4.48004903001745e-06,0,-80,80
Quadri_Sub_Por_Partes_PID_R2025a,tau_phi,-0.204133822767365,0.0668596477368724,0.204133822767365,-6.80424026783298e-12,0,-80,80
Quadri_Sub_Por_Partes_PID_R2025a,theta_des,-0.0106440424730318,0.00997282360025171,0.0106440424730318,-1.21661869325443e-05,0,-0.610865238198015,0.610865238198015
Quadri_Sub_Por_Partes_PID_R2025a,phi_des,-0.0172184909053861,0.0222526877562375,0.0222526877562375,-1.5298882499508e-07,0,-0.610865238198015,0.610865238198015
Quadri_Sub_Por_Partes_PID_R2025a,ax_cmd,-0.104422000209348,0.0978366430598454,0.104422000209348,-0.000119366242664227,NaN,NaN,NaN
Quadri_Sub_Por_Partes_PID_R2025a,ay_cmd,-0.21833490659783,0.168930090726934,0.21833490659783,1.22143720878211e-06,NaN,NaN,NaN
Quadri_Sub_Por_Partes_PID_R2025a,uz_cmd,-0.639271443261545,2.15845311271076,2.15845311271076,-1.89391040880649e-05,NaN,NaN,NaN
Quadri_Victor_combination_PID_R2025a,u,9.17073667416765,11.9684531127108,11.9684531127108,9.81011376930408,0,0,29.43
Quadri_Victor_combination_PID_R2025a,tau_psi,0,0,0,0,0,-20,20
Quadri_Victor_combination_PID_R2025a,tau_theta,-0.343712400946012,0.53761022132136,0.53761022132136,-4.48004903001745e-06,0,-80,80
Quadri_Victor_combination_PID_R2025a,tau_phi,-0.204133822767365,0.0668596477368724,0.204133822767365,-6.80424026783298e-12,0,-80,80
Quadri_Victor_combination_PID_R2025a,theta_des,-0.0106440424730318,0.00997282360025171,0.0106440424730318,-1.21661869325443e-05,0,-0.610865238198015,0.610865238198015
Quadri_Victor_combination_PID_R2025a,phi_des,-0.0172184909053861,0.0222526877562375,0.0222526877562375,-1.5298882499508e-07,0,-0.610865238198015,0.610865238198015
Quadri_Victor_combination_PID_R2025a,ax_cmd,-0.104422000209348,0.0978366430598454,0.104422000209348,-0.000119366242664227,NaN,NaN,NaN
Quadri_Victor_combination_PID_R2025a,ay_cmd,-0.21833490659783,0.168930090726934,0.21833490659783,1.22143720878211e-06,NaN,NaN,NaN
Quadri_Victor_combination_PID_R2025a,uz_cmd,-0.639271443261545,2.15845311271076,2.15845311271076,-1.89391040880649e-05,NaN,NaN,NaN
Quadrotor_model_2020_PID_R2025a,u,8.47043962994469,9.18989625229483,9.18989625229483,8.82915208582618,0,0,26.487
Quadrotor_model_2020_PID_R2025a,tau_psi,-0.700020000000001,0.134792650854717,0.700020000000001,7.23182506827534e-06,0,-20,20
Quadrotor_model_2020_PID_R2025a,tau_theta,-0.210909251475106,0.489202181717237,0.489202181717237,-5.47713850146658e-06,0,-80,80
Quadrotor_model_2020_PID_R2025a,tau_phi,-2.03706493034403,0.735995229519317,2.03706493034403,2.09530836250069e-05,0,-80,80
Quadrotor_model_2020_PID_R2025a,theta_des,-0.00102368229691103,0.00801440767509422,0.00801440767509422,9.22051748974297e-05,0,-0.610865238198015,0.610865238198015
Quadrotor_model_2020_PID_R2025a,phi_des,-0.0537676477280864,0.0255979701599184,0.0537676477280864,-4.98443533050651e-05,0,-0.610865238198015,0.610865238198015
Quadrotor_model_2020_PID_R2025a,ax_cmd,-0.0100423268405674,0.0786230226379388,0.0786230226379388,0.000904562132202037,NaN,NaN,NaN
Quadrotor_model_2020_PID_R2025a,ay_cmd,-0.251174233582405,0.527972658451278,0.527972658451278,0.000492260343959186,NaN,NaN,NaN
Quadrotor_model_2020_PID_R2025a,uz_cmd,-0.358566853765044,0.358556301928803,0.358566853765044,2.25177629548512e-07,NaN,NaN,NaN
