Time,Position
1.000000000000000021e-03,0.000000000000000000e+00
2.000000000000000042e-03,9.761113092066141250e-02
3.000000000000000062e-03,1.922826638876854177e-01
4.000000000000000083e-03,2.814184365916232444e-01
5.000000000000000104e-03,3.624826647961458814e-01
6.000000000000000125e-03,4.349717353123007668e-01
7.000000000000000146e-03,5.117991808255124564e-01
8.000000000000000167e-03,6.026716244787457821e-01
9.000000000000001055e-03,6.869547287895847454e-01
1.000000000000000021e-02,7.776816962213998208e-01
1.099999999999999936e-02,8.592971768688716372e-01
1.200000000000000025e-02,9.344276949729030113e-01
1.300000000000000114e-02,1.011761458626935450e+00
1.400000000000000029e-02,1.089692606799314012e+00
1.499999999999999944e-02,1.157143387018137792e+00
1.600000000000000033e-02,1.226632171812275685e+00
1.700000000000000122e-02,1.300089181627962720e+00
1.800000000000000211e-02,1.366815360545438729e+00
1.899999999999999953e-02,1.429667749297349522e+00
2.000000000000000042e-02,1.492244618167339443e+00
2.100000000000000130e-02,1.555875866327551815e+00
2.199999999999999872e-02,1.628108716651531784e+00
2.299999999999999961e-02,1.695155631747746527e+00
2.400000000000000050e-02,1.747895309999960789e+00
2.500000000000000139e-02,1.797010904045333035e+00
2.600000000000000228e-02,1.861851806382822216e+00
2.699999999999999969e-02,1.920100836793270815e+00
2.800000000000000058e-02,1.974682692697395492e+00
2.900000000000000147e-02,2.031193409930935445e+00
2.999999999999999889e-02,2.088438988735510815e+00
3.099999999999999978e-02,2.141126753860103538e+00
3.200000000000000067e-02,2.194320926645620506e+00
3.300000000000000155e-02,2.245760832253913541e+00
3.400000000000000244e-02,2.305229019884663888e+00
3.500000000000000333e-02,2.374211806309490136e+00
3.600000000000000422e-02,2.424200618033443000e+00
3.699999999999999817e-02,2.478305167745015414e+00
3.799999999999999906e-02,2.530818901173605973e+00
3.899999999999999994e-02,2.583335112198408723e+00
4.000000000000000083e-02,2.631621018672029688e+00
4.100000000000000172e-02,2.687785448908781127e+00
4.200000000000000261e-02,2.738387694731195587e+00
4.300000000000000350e-02,2.791430385475576870e+00
4.399999999999999745e-02,2.836071059920704851e+00
4.499999999999999833e-02,2.875802926445818031e+00
4.599999999999999922e-02,2.924130976153016981e+00
4.700000000000000011e-02,2.968458014568389203e+00
4.800000000000000100e-02,3.019178874678438262e+00
4.900000000000000189e-02,3.066300084490031441e+00
5.000000000000000278e-02,3.104277954464116807e+00
5.100000000000000366e-02,3.137089377080937602e+00
5.200000000000000455e-02,3.176570609502402665e+00
5.299999999999999850e-02,3.223700261134269329e+00
5.399999999999999939e-02,3.272124051480137297e+00
5.500000000000000028e-02,3.309016193840469189e+00
5.600000000000000117e-02,3.344019421593280583e+00
5.700000000000000205e-02,3.377994791756995685e+00
5.800000000000000294e-02,3.412410390921142511e+00
5.900000000000000383e-02,3.442705686587049563e+00
5.999999999999999778e-02,3.472840408530525114e+00
6.099999999999999867e-02,3.508993498413402357e+00
6.199999999999999956e-02,3.543591167030112121e+00
6.300000000000000044e-02,3.588614307742238996e+00
6.400000000000000133e-02,3.632919762122384544e+00
6.500000000000000222e-02,3.662134814521348147e+00
6.600000000000000311e-02,3.689781819840117549e+00
6.700000000000000400e-02,3.721580962252464264e+00
6.800000000000000488e-02,3.749418367376740946e+00
6.900000000000000577e-02,3.777503807527751611e+00
7.000000000000000666e-02,3.807028979231954491e+00
7.100000000000000755e-02,3.832384874791386675e+00
7.200000000000000844e-02,3.853229975083098946e+00
7.299999999999999545e-02,3.893397617639319908e+00
7.399999999999999634e-02,3.924872039576620786e+00
7.499999999999999722e-02,3.952580221417938855e+00
7.599999999999999811e-02,3.977316889581998360e+00
7.699999999999999900e-02,4.009496647347390308e+00
7.799999999999999989e-02,4.037040360241483938e+00
7.900000000000000078e-02,4.059688083987833984e+00
8.000000000000000167e-02,4.077427070251152585e+00
8.100000000000000255e-02,4.091691077512958685e+00
8.200000000000000344e-02,4.119028353353520799e+00
8.300000000000000433e-02,4.157425230431639029e+00
8.400000000000000522e-02,4.186431586498172486e+00
8.500000000000000611e-02,4.215362629449150411e+00
8.600000000000000699e-02,4.229031375031911288e+00
8.700000000000000788e-02,4.243310995804744579e+00
8.799999999999999489e-02,4.264263236365707144e+00
8.899999999999999578e-02,4.293747324755979200e+00
8.999999999999999667e-02,4.311570485263753305e+00
9.099999999999999756e-02,4.327873912748240848e+00
9.199999999999999845e-02,4.337544599227376452e+00
9.299999999999999933e-02,4.350070274081657473e+00
9.400000000000000022e-02,4.372270421862572753e+00
9.500000000000000111e-02,4.400334317776608550e+00
9.600000000000000200e-02,4.424695070105487460e+00
9.700000000000000289e-02,4.443922214246993185e+00
9.800000000000000377e-02,4.462125539278549269e+00
9.900000000000000466e-02,4.476911529639472143e+00
1.000000000000000056e-01,4.488131547692379542e+00
1.010000000000000064e-01,4.506701912184937875e+00
1.020000000000000073e-01,4.526117907319166633e+00
1.030000000000000082e-01,4.532457575851591258e+00
1.040000000000000091e-01,4.537370504956962591e+00
1.049999999999999961e-01,4.541447737995485845e+00
1.059999999999999970e-01,4.553220004923255182e+00
1.069999999999999979e-01,4.571239080216723316e+00
1.079999999999999988e-01,4.584945673799922794e+00
1.089999999999999997e-01,4.594531246979741468e+00
1.100000000000000006e-01,4.609018650590996025e+00
1.110000000000000014e-01,4.611230250578040923e+00
1.120000000000000023e-01,4.621844249404469807e+00
1.130000000000000032e-01,4.632009027023398673e+00
1.140000000000000041e-01,4.646228837200225392e+00
1.150000000000000050e-01,4.663694028926495427e+00
1.160000000000000059e-01,4.672993550133540452e+00
1.170000000000000068e-01,4.680785418009238974e+00
1.180000000000000077e-01,4.694830955253744165e+00
1.190000000000000085e-01,4.708026789686271307e+00
1.199999999999999956e-01,4.721639375039476505e+00
1.209999999999999964e-01,4.727722458161067287e+00
1.219999999999999973e-01,4.726875102027968900e+00
1.229999999999999982e-01,4.721031651985358124e+00
1.239999999999999991e-01,4.726260477373585900e+00
1.250000000000000000e-01,4.724948774872312462e+00
1.260000000000000009e-01,4.732413866132595182e+00
1.270000000000000018e-01,4.744462035812126999e+00
1.280000000000000027e-01,4.751907249687102208e+00
1.290000000000000036e-01,4.746514713795445317e+00
1.300000000000000044e-01,4.755802367177704326e+00
1.310000000000000053e-01,4.764902942558713050e+00
1.320000000000000062e-01,4.772001285483080224e+00
1.330000000000000071e-01,4.787973761291561381e+00
1.340000000000000080e-01,4.804603651175836099e+00
1.350000000000000089e-01,4.808744318922101968e+00
1.360000000000000098e-01,4.828105846770059273e+00
1.370000000000000107e-01,4.838445904484835580e+00
1.380000000000000115e-01,4.839216591013338231e+00
1.390000000000000124e-01,4.855231205368636616e+00
1.400000000000000133e-01,4.870381793119511471e+00
