time_s,ref_x_ref,ref_dx_ref,ref_y_ref,ref_dy_ref,ref_z_ref,ref_dz_ref,ref_psi_ref,state_x,state_dx,state_y,state_dy,state_z,state_dz,state_psi,state_dpsi,state_theta,state_dtheta,state_phi,state_dphi,cmd_u,cmd_tau_psi,cmd_tau_theta,cmd_tau_phi,cmd_theta_des,cmd_phi_des,cmd_ax_cmd,cmd_ay_cmd,cmd_uz_cmd,err_ex,err_ey,err_ez,err_epsi,err_etheta,err_ephi,err_Ix,err_Iy,err_Iz,err_Ipsi,err_Itheta,err_Iphi
0.013,0.00677983224662754,0.00673386612133513,0.0122036980439296,0.0121209590184032,0.0546518092525199,0,0,7.5006788321308e-09,2.29363988177937e-06,3.41905287614245e-09,1.04574301141297e-06,0.000179557787750176,0.0273772228196656,0,0,4.41683673111432e-05,0.00668400728375349,-2.01466689694176e-05,-0.00305222999861042,11.8535227386934,0,0.48582144354432,-0.223046406528481,0.00453749450698223,-0.00620459782363193,0.0445131266053722,0.0608678857888977,2.04352272472561,0.00677982474594871,0.0122036946248767,0.0544722514647698,0,0.00449332613967109,-0.00618445115466251,9.43075573441559e-05,0.000169753634839483,0.000759390116573985,0,6.29100358783932e-05,-8.62003308642924e-05
0.014,0.00678656943510468,0.00674051191040718,0.0122158249831884,0.0121329214387329,0.0547054913136374,0,0,1.00695388712433e-08,2.85776492643502e-06,4.59034049509915e-09,1.30308249658529e-06,0.000207956771931459,0.0294207455421132,0,0,5.10952853166688e-05,0.00716982872729781,-2.33104221712923e-05,-0.00327527640513891,11.8444254479392,0,0.481620784864623,-0.221390425667609,0.0045417478990689,-0.00621081664896203,0.0445548532416458,0.0609288948365397,2.0344254292599,0.00678655936556581,0.0122158203928479,0.0544975345417059,0,0.00449065261375223,-0.00618750622679074,0.000101094116709722,0.00018196945523233,0.000813887651115691,0,6.74006884921455e-05,-9.23878370910831e-05
0.015,0.00679331327260432,0.00674716416738458,0.0122279638906878,0.0121448955012922,0.0547592251239403,0,0,1.32442923849698e-08,3.50637122807803e-06,6.03804715842061e-09,1.59901497812187e-06,0.000238394730187282,0.0314551709685637,0,0,5.85059244363989e-05,0.00765144951216244,-2.6696393789265e-05,-0.00349666683080652,11.8352942023436,0,0.477391033615872,-0.219738734898739,0.00454596257023194,-0.00621703367805967,0.0445962000194206,0.0609898862718586,2.02529417787032,0.00679330002831194,0.0122279578526406,0.054520830393753,0,0.00448745664579554,-0.0061903372842704,0.000107887416738034,0.000194197413084971,0.000868408481509444,0,7.1888145137941e-05,-9.85781743753535e-05
0.016,0.00680006376559745,0.00675382289838126,0.0122401147780754,0.0121568812170863,0.0548130107313877,0,0,1.71122093054711e-08,4.24502631082812e-06,7.80204768197549e-09,1.93610013847796e-06,0.000270862548243661,0.0334804651430196,0,0,6.63960694653693e-05,0.00812884054577831,-3.03029299875209e-05,-0.00371640556570526,11.8261295343672,0,0.473132585866231,-0.21809134470498,0.00455013567284325,-0.00622324838275737,0.0446371390028445,0.0610508549139849,2.01612950287005,0.00680004665338814,0.0122401069760277,0.054542148183144,0,0.00448373960337788,-0.00619294545276985,0.000114687463391422,0.000206437520060999,0.000922950629692588,0,7.63718847413189e-05,-0.000104771119828123
0.017,0.00680682092056114,0.00676048810951655,0.01225227765701,0.0121688785971298,0.0548668481839795,0,0,2.17660951336488e-08,5.07923374294078e-06,9.92476358936495e-09,2.31687172327516e-06,0.00030535107813677,0.0354965946417929,0,0,7.47614763040807e-05,0.00860197313164454,-3.41283812255786e-05,-0.00393449691041024,11.8169319751843,0,0.468845841788471,-0.2164482654953,0.00455426439097194,-0.00622946023939797,0.0446776425670173,0.0611117956263317,2.00693193527834,0.006806799154466,0.0122522677322465,0.0545614971058427,0,0.00447950291466786,-0.00619533185817239,0.000121494262545888,0.000218689787793245,0.000977512126798431,0,8.08513876559867e-05,-0.000110966451686296
0.018,0.00681358474397857,0.00676715980691519,0.0122644525391614,0.0121808876524473,0.0549207375297561,0,0,2.73042268509637e-08,6.0144328734432e-06,1.24511372124381e-08,2.74383761612615e-06,0.000341851138744605,0.0375035265722111,0,0,8.35978723566195e-05,0.00907081897343301,-3.81711022687365e-05,-0.00415094517590554,11.8077020546676,0,0.464531205596803,-0.214809507604414,0.00455834594052896,-0.00623566872882737,0.0447176833994103,0.0611727033165232,1.99770200480578,0.00681355743975172,0.0122644400880242,0.0545788863910115,0,0.00447474806817234,-0.00619749762655863,0.000128307819985639,0.000230954227881269,0.00103209101318944,0,8.53261357241591e-05,-0.000117163949312854
0.019,0.0068203552423391,0.00677383799670739,0.0122766394362104,0.0121929083940733,0.054974678816799,0,0,3.38302885728508e-08,7.05599857869255e-06,1.54286058674383e-08,3.21947991506987e-06,0.000380353516317342,0.0395012285713085,0,0,9.29009569328509e-05,0.00953535017902981,-4.24294521984443e-05,-0.00436575468350995,11.7984403013736,0,0.460189085483135,-0.213175081292659,0.00456237756940676,-0.00624187333638698,0.0447572345012362,0.0612335729363189,1.9884402398397,0.00682032141205052,0.0122766240076045,0.0545943253004816,0,0.0044694766124739,-0.00619944388418854,0.00013512814139769,0.000243230851888874,0.00108668533848992,0,8.9795612336633e-05,-0.000123363393197043
0.02,0.00682713242213816,0.00678052268502875,0.0122888383598487,0.0122049408330518,0.0550286720932299,0,0,4.1453306953645e-08,8.20924101884069e-06,1.89070761083784e-08,3.74625501059139e-06,0.000420848965006383,0.0414896688045036,0,0,0.000102666401654622,0.00999553926451295,-4.69017944226005e-05,-0.00457892976480261,11.7891472425275,0,0.455819893552737,-0.21154499674586,0.0045663565576138,-0.00624807355190575,0.0447962691887688,0.0612943994815342,1.97914716742966,0.00682709096883121,0.0122888194527726,0.0546078231282235,0,0.00446369015595918,-0.00620117175748315,0.000141955232366521,0.000255519671341647,0.00114129316161815,0,9.42593024925922e-05,-0.000129564564954526
0.021,0.00683391628987738,0.00678721387802032,0.0123010493217793,0.0122169849804366,0.0550827174072116,0,0,5.02875863529144e-08,9.47940540418796e-06,2.29388980592162e-08,4.326593665201e-06,0.000463328207392075,0.0434688159642611,0,0,0.000112889850865912,0.0104513591580657,-5.15864966857761e-05,-0.00479047476154847,11.7798234040089,0,0.451424045759366,-0.209919264075185,0.00457028021740427,-0.00625426886969191,0.0448347610946158,0.0613551779919589,1.96982331327311,0.00683386600229102,0.0123010263828812,0.0546193891998195,0,0.00445739036653836,-0.00620268237300613,0.000148789098368812,0.000267820697724528,0.00119591255081797,0,9.87166928591305e-05,-0.000135767247327532
0.022,0.00684070685206448,0.0067939115818286,0.0123132723337161,0.0122290408472915,0.0551368148069476,0,0,6.04526437730825e-08,1.08716717714067e-05,2.7578839826377e-08,4.96290109454704e-06,0.000507781935010074,0.0454386392687401,0,0,0.000123566922046857,0.010902783203825,-5.64819310793621e-05,-0.00500039402562365,11.7704693103367,0,0.447001961839831,-0.208297893316995,0.00457414589340257,-0.00626045878852434,0.0448726841689405,0.0614159035512705,1.96046920170118,0.00684064639942071,0.0123132447548762,0.0546290328719375,0,0.00445057897135571,-0.00620397685744497,0.000155629744768233,0.000280133942479404,0.0012505415836899,0,0.000103167271830486,-0.000141971224184977
