time_s,ref_z_ref,ref_dz_ref,state_z,state_dz,cmd_T,cmd_T_unsat,cmd_T_feedforward,cmd_e_z_cmd,cmd_I_z_cmd,cmd_edot_z_cmd,err_e_z,err_I_z,err_edot_z
0,0.0539586298862747,0.0529881186398733,0,0,12.2333937059101,12.2333937059101,9.81,0.0539586298862747,5.39586298862747e-05,0.0529881186398733,0.0539586298862747,5.39586298862747e-05,0.0529881186398733
0.001,0.0540116435538155,0.0530392243406874,1.21169685295506e-06,0.00242339370591013,12.2237123655759,12.2237123655759,9.81,0.0540104318569626,0.000107969061743237,0.0506158306347773,0.0540104318569626,0.000107969061743237,0.0506158306347773
0.002,0.0540647083507603,0.0530903774544094,4.84194674165313e-06,0.004837106071486,12.2139850709317,12.2139850709317,9.81,0.0540598664040187,0.000162028928147256,0.0482532713829234,0.0540598664040187,0.000162028928147256,0.0482532713829234
0.003,0.0541178243245421,0.0531415780213348,1.0881045348605e-05,0.00724109114241766,12.2042124373052,12.2042124373052,9.81,0.0541069432791935,0.000216135871426449,0.0459004868789171,0.0541069432791935,0.000216135871426449,0.0459004868789171
0.004,0.0541709915226342,0.0531928260817858,1.93192427096752e-05,0.00963530357972284,12.1943950787947,12.1943950787947,9.81,0.0541516722799245,0.000270287543706374,0.0435575225020629,0.0541516722799245,0.000270287543706374,0.0435575225020629
0.005,0.0542242099925503,0.0532441216761116,3.01467438287954e-05,0.0120196986585176,12.1845336082507,12.1845336082507,9.81,0.0541940632487215,0.000324481606955096,0.041224423017594,0.0541940632487215,0.000324481606955096,0.041224423017594
0.006,0.0542774797818445,0.0532954648446883,4.33537092914383e-05,0.0143942322667683,12.1746286372578,12.1746286372578,9.81,0.054234126072553,0.000378715733027649,0.03890123257792,0.054234126072553,0.000378715733027649,0.03890123257792
0.007,0.0543308009381112,0.053346855627919,5.89302558768355e-05,0.0167588609040261,12.1646807761163,12.1646807761163,9.81,0.0542718706822344,0.000432987603709883,0.0365879947238929,0.0542718706822344,0.000432987603709883,0.0365879947238929
0.008,0.0543841735089854,0.0533982940662336,7.68664571689197e-05,0.0191135416801423,12.1546906338246,12.1546906338246,9.81,0.0543073070518164,0.000487294910761699,0.0342847523860912,0.0543073070518164,0.000487294910761699,0.0342847523860912
0.009,0.0544375975421422,0.0534497802000888,9.71523441659744e-05,0.021458232313967,12.1446588180616,12.1446588180616,9.81,0.0543404451979762,0.000541635355959676,0.0319915478861218,0.0543404451979762,0.000541635355959676,0.0319915478861218
0.01,0.0544910730852975,0.0535013140699685,0.000119777905888972,0.0237928911320285,12.1345859351683,12.1345859351683,9.81,0.0543712951794086,0.000596006651139084,0.0297084229379399,0.0543712951794086,0.000596006651139084,0.0297084229379399
0.011,0.0545446001862077,0.0535528957163833,0.000144733089988585,0.0261174770671969,12.1244725901312,12.1244725901312,9.81,0.0543998670962191,0.000650406518235303,0.0274354186491864,0.0543998670962191,0.000650406518235303,0.0274354186491864
0.012,0.0545981788926693,0.0536045251798707,0.000172007803350847,0.028431949657328,12.1143193865641,12.1143193865641,9.81,0.0544261710893185,0.000704832689324622,0.0251725755225427,0.0544261710893185,0.000704832689324622,0.0251725755225427
0.013,0.0546518092525199,0.0536562025009953,0.000201591912701457,0.0307362690438921,12.1041269266916,12.1041269266916,9.81,0.0544502173398185,0.00075928290666444,0.0229199334571032,0.0544502173398185,0.00075928290666444,0.0229199334571032
0.014,0.0547054913136374,0.0537079277203486,0.000233475245208695,0.0330303959705837,12.0938958113314,12.0938958113314,9.81,0.0544720160684287,0.000813754922732869,0.0206775317497649,0.0544720160684287,0.000813754922732869,0.0206775317497649
0.015,0.0547592251239403,0.0537597008785488,0.000267647589084945,0.0353142917819152,12.0836266398779,12.0836266398779,9.81,0.0544915775348553,0.000868246500267724,0.0184454090966337,0.0544915775348553,0.000868246500267724,0.0184454090966337
